id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_commons_mr19_000004,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000004.mp4,30.000,ok,ok,ok,8,ok,
vdcr_commons_mr19_000005,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000005.ogv,3.333,ok,ok,ok,8,ok,
vdcr_commons_mr19_000006,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000006.webm,25.730,ok,ok,ok,8,ok,
vdcr_commons_mr19_000007,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000007.ogv,36.143,ok,ok,ok,8,ok,
vdcr_commons_mr20_000001,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000001.gif,10.100,ok,ok,ok,8,ok,
vdcr_commons_mr20_000002,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000002.webm,5.834,ok,ok,ok,8,ok,
vdcr_commons_mr20_000003,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000003.webm,54.666,ok,ok,ok,8,ok,
vdcr_commons_mr20_000004,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000004.ogv,16.667,ok,ok,missing,7,ok,partial_frame_extraction
vdcr_commons_mr20_000005,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000005.webm,64.304,ok,ok,ok,8,ok,
vdcr_commons_mr20_000006,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000006.ogv,29.900,ok,ok,ok,8,ok,
vdcr_commons_mr20_000007,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000007.ogv,22.267,ok,ok,ok,8,ok,
vdcr_commons_mr20_000008,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000008.ogv,18.133,ok,ok,ok,8,ok,
vdcr_commons_mr20_000009,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000009.ogv,40.000,ok,ok,ok,8,ok,
vdcr_commons_mr20_000010,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000010.ogv,15.942,ok,ok,ok,8,ok,
vdcr_commons_mr21_000001,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000001.ogv,88.600,ok,ok,ok,8,ok,
vdcr_commons_mr21_000002,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000002.webm,14.461,ok,ok,ok,8,ok,
vdcr_commons_mr21_000003,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000003.ogv,33.967,ok,ok,ok,8,ok,
vdcr_commons_mr21_000004,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000004.ogv,18.367,ok,ok,ok,8,ok,
vdcr_commons_mr21_000005,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000005.ogv,7.833,ok,ok,ok,8,ok,
vdcr_commons_mr21_000006,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000006.ogv,14.583,ok,ok,ok,8,ok,
vdcr_commons_mr21_000007,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000007.ogv,15.036,ok,ok,ok,8,ok,
vdcr_commons_mr21_000008,media/vdcr_commons_manual_round21_v1/vdcr_commons_mr21_000008.webm,47.986,ok,ok,ok,8,ok,
vdcr_commons_mr22_000001,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000001.webm,39.461,ok,ok,ok,8,ok,
vdcr_commons_mr22_000002,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000002.gif,0.100,ok,ok,ok,8,ok,
vdcr_commons_mr22_000003,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000003.gif,2.000,ok,ok,ok,8,ok,
vdcr_commons_mr22_000004,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000004.webm,11.740,ok,ok,ok,8,ok,
vdcr_commons_mr22_000005,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000005.ogv,26.727,ok,ok,ok,8,ok,
vdcr_commons_mr22_000006,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000006.ogv,236.400,ok,ok,ok,8,ok,
vdcr_commons_mr22_000007,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000007.gif,,missing,missing,missing,0,missing,ffprobe:could not convert string to float: 'N/A'
vdcr_commons_mr22_000008,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000008.webm,60.007,ok,ok,ok,8,ok,
vdcr_commons_mr22_000009,media/vdcr_commons_manual_round22_v1/vdcr_commons_mr22_000009.webm,70.182,ok,ok,ok,8,ok,
vdcr_commons_mr23_000001,media/vdcr_commons_manual_round23_v1/vdcr_commons_mr23_000001.webm,24.472,ok,ok,ok,8,ok,
vdcr_commons_mr23_000002,media/vdcr_commons_manual_round23_v1/vdcr_commons_mr23_000002.ogv,16.416,ok,ok,ok,8,ok,
vdcr_commons_mr23_000003,media/vdcr_commons_manual_round23_v1/vdcr_commons_mr23_000003.webm,22.584,ok,ok,ok,8,ok,
vdcr_commons_mr23_000004,media/vdcr_commons_manual_round23_v1/vdcr_commons_mr23_000004.ogv,31.600,ok,ok,ok,8,ok,
vdcr_commons_mr23_000005,,,missing,missing,missing,0,missing,missing_video
vdcr_commons_mr23_000006,media/vdcr_commons_manual_round23_v1/vdcr_commons_mr23_000006.webm,107.840,ok,ok,ok,8,ok,
vdcr_commons_mr24_000001,media/vdcr_commons_manual_round24_v1/vdcr_commons_mr24_000001.webm,98.605,ok,ok,ok,8,ok,
vdcr_commons_mr24_000002,media/vdcr_commons_manual_round24_v1/vdcr_commons_mr24_000002.ogv,66.400,ok,ok,ok,8,ok,
vdcr_commons_mr24_000003,media/vdcr_commons_manual_round24_v1/vdcr_commons_mr24_000003.ogv,18.833,ok,ok,ok,8,ok,
vdcr_commons_mr24_000004,media/vdcr_commons_manual_round24_v1/vdcr_commons_mr24_000004.ogv,28.933,ok,ok,ok,8,ok,
vdcr_commons_mr24_000005,media/vdcr_commons_manual_round24_v1/vdcr_commons_mr24_000005.webm,77.360,ok,ok,ok,8,ok,
vdcr_commons_mr25_000001,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000001.webm,38.083,ok,ok,ok,8,ok,
vdcr_commons_mr25_000002,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000002.ogv,43.200,ok,ok,ok,8,ok,
vdcr_commons_mr25_000003,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000003.ogv,37.351,ok,ok,ok,8,ok,
vdcr_commons_mr25_000004,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000004.gif,6.100,ok,ok,missing,5,ok,partial_frame_extraction
vdcr_commons_mr25_000005,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000005.gif,4.000,ok,ok,missing,4,ok,partial_frame_extraction
vdcr_commons_mr25_000006,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000006.webm,25.017,ok,ok,ok,8,ok,
vdcr_commons_mr25_000007,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000007.ogv,24.000,ok,ok,ok,8,ok,
vdcr_commons_mr25_000008,media/vdcr_commons_manual_round25_v1/vdcr_commons_mr25_000008.ogv,5.973,ok,ok,ok,8,ok,
vdcr_commons_mr26_000001,media/vdcr_commons_manual_round26_v1/vdcr_commons_mr26_000001.webm,138.705,ok,ok,ok,8,ok,
vdcr_commons_mr26_000002,media/vdcr_commons_manual_round26_v1/vdcr_commons_mr26_000002.webm,60.007,ok,ok,ok,8,ok,
vdcr_commons_mr26_000003,media/vdcr_commons_manual_round26_v1/vdcr_commons_mr26_000003.webm,6.536,ok,ok,ok,8,ok,
vdcr_commons_mr26_000004,media/vdcr_commons_manual_round26_v1/vdcr_commons_mr26_000004.webm,107.840,ok,ok,ok,8,ok,
vdcr_commons_mr27_000001,media/vdcr_commons_manual_round27_v1/vdcr_commons_mr27_000001.webm,16.085,ok,ok,ok,8,ok,
vdcr_commons_mr27_000002,media/vdcr_commons_manual_round27_v1/vdcr_commons_mr27_000002.ogv,27.000,ok,ok,ok,8,ok,
vdcr_commons_mr27_000003,media/vdcr_commons_manual_round27_v1/vdcr_commons_mr27_000003.webm,184.184,ok,ok,ok,8,ok,
vdcr_commons_mr27_000004,media/vdcr_commons_manual_round27_v1/vdcr_commons_mr27_000004.gif,18.200,ok,ok,ok,8,ok,
